Review Title,DateandGroup,Description,Contributions,Compound,Positive,Neutral,Negative,Sentiment,Date,Group
Average pizza,May 2023 • Couples,Garlic knots are basically just large dinner tools. Not bad but not great. We have gotten to go twice now from them and won’t again.,,-0.5448,0.066,0.783,0.151,Negative,May 2023,Couples
Cardboard Pizza,May 2023 • None,"This had to be the worst pizza I ever ate in my life. If you like cardboard then you'll love the Pizza, but if your looking for good pizza, I recommend you pass this place by. Garlic knots were horrible and mozzarella sticks pretty bad too. If you want just french fries, this is the place for you. The only thing good that we got. Overpiced too$$$$$",,0.7906,0.239,0.624,0.137,Positive,May 2023,None
Worst pizza we’ve even eaten in our lives,Apr 2023 • None,"This had to be the most god awful pizza our family of four has ever eaten. We ordered a large New York style pizza and also a large Sicilian pizza with ham and chicken. Bill was $72 for TAKE OUT! Get the pizzas back to our condo and as soon as we opened the box, they didn’t look great. We all agreed they were both terrible. Completely flavorless! Cheese had no flavor, sauce had no flavor and crust was truly the worst we have ever had (both the New York style and the Sicilian style). DO NOT WASTE YOUR MONEY GETTING PIZZA FROM HERE. Anywhere else on Marco has to be better.",,0.4539,0.136,0.752,0.113,Positive,Apr 2023,None
Won’t be back,Apr 2023 • Family,"We had been to Joey’s in the past and enjoyed it. My daughter and our grandchildren were visiting and we thought that this would be a good place for dinner. I ordered the traditional pizza with meatballs. The crust was not crisp, the meatballs were little cubes that were as hard as hockey pucks. My grandson ordered linguine and meatballs. The meatballs were a disturbing dark brown and were dry with no flavor. The other entrees were just average…calzone, stuffed eggplant. The server was very good and attentive. The straw that broke the camels back was in the restroom. As I was washing my hands, one of the kitchen staff emerged from a stall and left the restroom without washing his hands. This completely turned me off. Also, no sign in the restroom for employees to wash their hands before returning to work. Having worked in the restaurant industry as an owner, this is a training issue. Very disappointing. We will not be back.",,-0.7264,0.052,0.849,0.099,Negative,Apr 2023,Family
"Staffed, clean and ran like a well oiled machine",Apr 2023 • Couples,"One of the last places we ate at on our vacation. We would have gone a second time and definitely will go here again next year! We had salad and pizza...fabulous! The restaurant was well staffed, clean and ran like a well oiled machine.",34 contributions,0.893,0.255,0.745,0.0,Positive,Apr 2023,Couples
Busy but worth it,Mar 2023 • None,"Best value lunch we had on the whole island. Did the soup and half sandwich and took some home. But don't skip the bread with the soup...so worth it. Pizza is good, too, but we had that on another visit.",,0.8591,0.226,0.774,0.0,Positive,Mar 2023,None
Just average,Jan 2023 • None,"Parking is a mess, additional parking in the back that is blocked off. Food is OK, had the chicken parm, could have been better. Garlic knots on the other amazing. Food pricing on the higher side.",,0.7213,0.218,0.678,0.104,Positive,Jan 2023,None
Over the Top & Beyond !,Feb 2023 • None,"After a long day of travel we reached our condo late afternoon. First time our new pup came with us and truthfully from what I had seen, (or should say not seen ) I wasn't sure how pet friendly Marco would be. We could not have picked a more perfect first experience. The awesome staff could not get enough of our very excited puppy Peach. They were so welcoming ! We weren't there 10 minutes when the manager came running over with a bowl of ice-water. He & all the servers loved over our Peach. It made me feel so totally relaxed after being very apprehensive. DID I MENTION HOW GREAT THE FOOD WAS ?! We have gone there in the past many times; simply can not go wrong. And now seeing how my Peach was welcomed, we will certainly be going more often. Btw, I had calamari, meatballs , soup ....my hubby had chicken milanese twice ! THANK YOU !",,0.9932,0.265,0.735,0.0,Positive,Feb 2023,None
Popular Pizza/Pasta Spot,Mar 2023 • None,"A very casual indoor/outdoor spot on Collier Ave on Marco Island. Considering how crazy busy things are ""in season"" here, the service was OK. Food was pretty good, and the servings were huge...most of our group left with a box. One of the minor complaints is that because we had four couples, we asked if they would take our orders ""boy, girl""...""we don't do that"". Not a deal breaker, but when you're not prepared for that, we're all trying to break large bills so we can at least divvy up the total 4 ways. Don't want to torch them for that because the food was good, the rest of the experience, OK.",116 contributions,0.8566,0.127,0.815,0.057,Positive,Mar 2023,None
Best pizza around. Amazing staff,Feb 2023 • Couples,Joeys was so good we went there three times on our stay. The staff and food is amazing. Highly recommend when in Marco island pizza is big and great.,181 contributions,0.9375,0.366,0.634,0.0,Positive,Feb 2023,Couples
Horrible services,Feb 2023 • Family,"We came on Sunday. The restaurant is at half capacity. We were seated right away. From there, it was a poor experience. We didn’t receive our drinks, not even water, for over 20 minutes .Our appetizer garlic bread came out, and I mentioned it to another employee, as our waiter was no where to be found . Then the rest of our food came out , and still we had no drinks . Not even water. Then it was a long time to get our check . There are too many good places to eat in Marco, I will never come back here",,-0.5574,0.029,0.897,0.074,Negative,Feb 2023,Family
Don’t Order the Gluten Free Pizza,Feb 2023 • None,"They don’t use a good crust. It is thin and tasteless. They don’t know how to use toppings proportionate to the size of the gluten free shell. My husband’s regular pizza was fine. But the gluten free pizza, even when it wasn’t burned like the first one, was not good. Since you start with a base price of $19, and it’s $2 for each topping, save your money and buy a frozen gluten free pizza in the market.",8 contributions,0.9771,0.278,0.722,0.0,Positive,Feb 2023,None
Time to review procedures,Feb 2023 • Couples,"Sadly very disappointed Ordered 2 pizzas for table 1 arrived,2nd one 25 minutes later Cheese and pepperoni not fully done and crispy",619 contributions,-0.7346,0.0,0.744,0.256,Negative,Feb 2023,Couples
Great dinner and wonderful service!,Dec 2022 • Family,There are 16 of us in our family and we enjoyed a delicious dinner at Joey’s. They were so accommodating for our large group. The cocktails were delicious and the food was amazing. Our server was excellent. The pizza is delicious as well as the different pastas and salads. We have eaten here twice this week and both times it was delicious.,,0.9812,0.343,0.657,0.0,Positive,Dec 2022,Family
Out of this world,Dec 2022 • Couples,"We are regularly in search of “THE BEST” pizza, from Connecticut and NY to Florida to Texas. With their homemade vodka sauce on one of their pizzas, we may have found it. I will be thinking about this pizza til we are back on Marco. Delicious flavor, great house salad, melt in your mouth garlic knot, and true coal-fired crust. Small pizza is huge! Do yourself a favor and go there soon!",,0.9449,0.199,0.801,0.0,Positive,Dec 2022,Couples
Great pizza...no lie!!,Dec 2022 • Couples,"We have done New Haven pizza, Chicago and many other places, but Joey's is easily in the top 10 ever...ingredients ..flavor...amount of toppings...crust...service...just fantastic!!! Loved it and we will be back!!!!",3 contributions,0.9566,0.382,0.618,0.0,Positive,Dec 2022,Couples
Great for Take Out,Nov 2022 • Family,"We ordered the deep dish and the regular (thin) crust - both were great! We got the largest size and they were plenty big to feed hungry, tired beach folks. Heavy toppings and sauce - very tasty and piping hot! Meatballs were good as well - about the size of a golfball, so 3 to an order was not really enough to share. The tiramisu and spumoni are not to be missed - wowza! It took about 45 mins to pick up after placing the order - definitely plan give yourself time to deal with the hassle of parking. Worth it tho!!",4 contributions,0.9362,0.176,0.797,0.027,Positive,Nov 2022,Family
"Fabulous, every time!",Nov 2022 • Friends,"Went to Joey’s with friends, short wait as we were a party of 8, so worth it!! I was craving the Baratta Salad, my husband had lasagna. Good waiter, we will be back!",192 contributions,0.9015,0.309,0.691,0.0,Positive,Nov 2022,Friends
A wonderful dining experience.,Nov 2022 • None,"Our first dinner on vacation to Marco Island was at Joey’s Pizza. Nice open ambiance with very friendly servers. For a starter, Escarole soup was ordered. Fabulous taste, wonderful broth. Served with a garlic knot which was some of the best we had. Next up I ordered theCold Broccoli Salad with a light lemon vinaigrette and Kalimantan olives with red peppers. Excellent and a meal of itself. Entrees were the Chicken Caruso in a wonderful broth and sautéed spinach and the Chicken Limone with linguine. The chicken in each was tender enough to be cut with a fork, linguine cooked to perfection, Al dente. A wonderful meal all around. This will be a recommended restaurant to all my friends and family that visit.",298 contributions,0.9884,0.264,0.721,0.015,Positive,Nov 2022,None
Joey's,Oct 2022 • None,"Came in for dinner with a group from work. The food is amazing! Even their blueberry mule cocktail was great. The pizza is incredible (and huge!). Our waitress had a difficult time splitting our group's checks individually, but we didn't even mind after such a great dinner.",455 contributions,0.8869,0.211,0.756,0.033,Positive,Oct 2022,None
We Love Joey's,Sept 2022 • None,We often spend a week on Marco and always have a pizza night overlooking the south beach. Joey's helps us keep to our goal of eating every meal outside when we go to Marco Island. Meatball pizza is our favorite but they have a good menu. Highly recommended (by us).,61 contributions,0.8515,0.193,0.807,0.0,Positive,Sept 2022,None
Stromboli,Sept 2022 • Couples,Veggies inside of Stromboli weren’t cooked. Stromboli was very large but cost was $20 which seems high. It was ok May go back.,,0.4215,0.113,0.887,0.0,Positive,Sept 2022,Couples
"Girl's Trip, Oh Sip!",Sept 2022 • None,"Ordered pizza to be delivered last night on Island. Delivered on time. Pizza very good. Ordered one small and one large, but got two large. Not sure if paying for two large, but still good pizza.",,0.605,0.153,0.789,0.058,Positive,Sept 2022,None
"Terrible pizza, much better options elsewhere",Aug 2022 • None,The pizza was expensive and not good. We had it delivered so perhaps it would be better at the restaurant. The crust is thin and soggy to the point where you couldn't pick up a slice without it falling apart and having to eat it with a fork out of the box. The toppings were not flavorful and it was light on sauce.,12 contributions,0.2354,0.067,0.896,0.037,Positive,Aug 2022,None
Great Pizza.,Sept 2022 • Family,The pizza was delicious and the staff was very attentive. It has a nice atmosphere very family oriented. Would definitely recommend and will be back,142 contributions,0.8934,0.369,0.631,0.0,Positive,Sept 2022,Family
Great stop for casual dinner,Aug 2022 • None,"We ordered the garlic bread and ""everything"" pizza. Both were delicious with crisp crust, fresh ingredients, appetizing appearance and friendly to the taste buds. There is an outside venue, complete with a solo musician. We chose inside because the evening had brought some wind. The interior is not fancy, but we were comfortable, and the service was fine.",14 contributions,0.8945,0.197,0.803,0.0,Positive,Aug 2022,None
Unappetising and disappointing,Aug 2022 • Family,Ordered 2 large pizzas for takeout at a cot of $60. Service at this takeout was unhelpful and rude. Pizza was dry and cold and lacked flavour. Value for money was very poor. Frozen pizza would have been a better option!,252 contributions,-0.3367,0.115,0.739,0.145,Negative,Aug 2022,Family
Automatic 20% gratuity on a party of 4??,Jul 2022 • Family,"We have been visiting Joey’s for years and we love the food. We received the bill and gratuity was already added at 20%. We would’ve tipped this, but we didn’t have an option to do so. When we questioned it, our server said it was normal. Our response was that we were here earlier in the week and it was not added. He said that they told him it was normal and we moved on. The menu states that 18% gratuity would be added for parties of 6 or more and we were only a party of 4. We didn’t receive adequate attention and we had to make requests multiple times. We also noticed that a more expensive glass of wine was charged than the glass ordered. We are disappointed because we really like this restaurant!",24 contributions,0.8265,0.107,0.837,0.056,Positive,Jul 2022,Family
Delicious!!,Jul 2022 • None,"We stopped for lunch on the way home from kayaking. The food was delicious - pizza was great, chicken parm sandwich was fabulous. Portions are large and the beer is cold. It was a great experience.",202 contributions,0.9371,0.331,0.628,0.041,Positive,Jul 2022,None
Never again….,Jul 2022 • Couples,"Been going to joeys forever and it used to be one of my favorites but it has gotten so bad… bad service, food never comes as ordered, they bring the food 2 seconds after getting salad, and food has gone downhill and expensive for nothing, I could go to 5th ave for the price they charge for a piece of chicken… never again… done!",,-0.6767,0.029,0.889,0.082,Negative,Jul 2022,Couples
Pizza just ok,Jun 2022 • Family,Pizza was just ok. Barely any sauce. We asked for a side of sauce they brought it and it was cold and tasted like sauce from a can. Maybe the other food was good but the pizza was a disappointment.,11 contributions,-0.2846,0.124,0.772,0.104,Negative,Jun 2022,Family
Worst pizza ever,May 2022 • Couples,"Pizza was terrible, get a frozen pizza before going here. Cost wasn't bad but taste was terrible. Little sauce little cheese and dough was flakey and over cooked. Would not recommend go somewhere else",,-0.787,0.048,0.729,0.223,Negative,May 2022,Couples
Surprisingly good,Apr 2022 • None,"Being from NY/NJ, you are hard-pressed to find decent pizza anywhere out of the metro area. I found this pizza to be exceptionally good, the crumpled sausage topping was awesome. It's crowded so best for take-out.",,0.9282,0.283,0.717,0.0,Positive,Apr 2022,None
"Nice place, great food",Apr 2022 • None,Had dinner on a Wednesday recently. Sat outside in the covered patio area. The food was great and the service was attentive. Will definitely return here.,138 contributions,0.7783,0.228,0.772,0.0,Positive,Apr 2022,None
Overpriced,Apr 2022 • None,We placed an order for 2 small and 1 large pizza with mozz sticks - $78.....enough said Seems they are trying to take advantage of the people who are responsible for their being able to make a living --- the tourists,,0.5106,0.109,0.891,0.0,Positive,Apr 2022,None
Not Great,Apr 2022 • Family,Ordered take out. We thought this place was overpriced. Chicken parm hoagie was not good - chicken was tough and the breading was falling off. Sicilian pizza was over cooked. The crust was black and hard. My husband got the sausage hoagie with onions and peppers and he thought it was good.,23 contributions,-0.744,0.0,0.832,0.168,Negative,Apr 2022,Family
Always great! Consistent - very good service and food,Nov 2021 • Family,"Dined here on two separate occasions last week during a stay in Marco Island. First visit since pre-Covid and Joeys never disappoints! The garlic knots and Caesar salad are fantastic as are the multitude of entrées that please all palates. Have not tried the pizza but stick with veal, chicken and pastas. Lovely outdoor patio. Indoor dining does not seem very distanced. Although the restaurant is popular and very busy, wait times are minimal due to the sheer size. The only thing I would fault is the fact that the entrées are brought out while still eating salads or appetizers. This is a bit frustrating. Nonetheless we are sure to return",65 contributions,0.8513,0.141,0.799,0.059,Positive,Nov 2021,Family
Worst pizza ever,Nov 2021 • Family,"Ordered a deep dish with spinach and broccoli. The dough appeared as if they took old dinner rolls and put an exceedingly thin layer of tomato sauce, some cheese and the veggies on top. The dough was obviously not fresh made. No one in the group liked it. Would never recommend the deep dish to anyone. You could get a better pie at pizza hut for half the cost.",,0.6504,0.126,0.819,0.055,Positive,Nov 2021,Family
Great pizza,Nov 2021 • None,Delicious pizza. Thin and crispy. Ordered pepperoni which was great. We wanted it delivered to the condo we were staying at but it was over an hour delivery so we picked it up.,46 contributions,0.5994,0.136,0.864,0.0,Positive,Nov 2021,None
Tasty food and fast service,Nov 2021 • Family,"We tried their deep dish pizza and garlic knots and weren’t disappointed! Easy carry out experience, about 30 min on a Sunday evening. Will be back for sure!",,0.3987,0.176,0.73,0.094,Positive,Nov 2021,Family
Very good pizza!,Nov 2021 • None,We ordered Pepperoni with the NY style crust for takeout and it was very good. Made for great leftovers the next day as well.,9 contributions,0.8553,0.309,0.691,0.0,Positive,Nov 2021,None
Foods Fine but way Too Expensive,Nov 2021 • Family,"For 2 large pizzas, and 2 anti pasta salads my fiancé’s dad paid $90+ not including tip! If I was there when he went to pick it up and pay I would have not let him. Food was fine but not worth that cost.",,-0.41,0.033,0.846,0.121,Negative,Nov 2021,Family
A great choice for Italian!,Nov 2021 • None,"Four of us went to Joey's. Had great service, quick food delivery and excellent dinners. From the garlic rolls, to the stuffed shells, baked ziti, pizza and meatball subs, there wasn't one complaint at our table. It was a great choice and we didn't even have to wait for a table.",248 contributions,0.9299,0.235,0.765,0.0,Positive,Nov 2021,None
Great pizza!,Oct 2021 • None,We ordered a pizza for takeout and we were surprised at how tasty it was. The crust was nice and the flavor was really good. It heated up nicely the next day for leftovers. We would order from here again.,203 contributions,0.8687,0.236,0.764,0.0,Positive,Oct 2021,None
Delicious Pizza,Oct 2021 • None,Went here for lunch after jet skiing and the pizza hit the spot. WE had the meat lovers and it was tasty. Added a few breadsticks and all in all an excellent lunch,480 contributions,0.7964,0.191,0.809,0.0,Positive,Oct 2021,None
Delicious pizza and pasta!,Oct 2021 • Friends,We visited joeys with a group of friends and we all loved everything we had! The doreens salad and the Burratta salad were unforgettable! Don’t miss joeys while vacationing on Marco.,3 contributions,0.7896,0.21,0.746,0.044,Positive,Oct 2021,Friends
BEST PIZZA EVER!!!!!,Oct 2021 • None,"We ate at joeys twice while on vacation and got delivery once!! Their pizza is truly some of the BEST I've ever had! Their sauce is very flavorful and you can tell their dough is homemade. We also tried their fried calamari joeys way, the burrata salad and the penne ala vodka, which were ALL EXCELLENT!! You definitely don't want to miss this place while on vacation in Marco Island!",,0.9542,0.212,0.773,0.015,Positive,Oct 2021,None
AVOID AT ALL COSTS!!!!,Aug 2021 • Couples,"People who gave this place more than 2 stars must simply be desperate for pizza on the island. I would rather eat a frozen Digornio or CPK pizza from the grocery store than this ""pizza"". I cannot even call it pizza--the sauce was bland and tasteless. The crust was not close to crispy and the cheese was mush. Avoid at all costs!!!! Also, as an aside, we ordered a small and were charged for a large. Are they that desperate for money???? Please go to the grocey store instead and buy 2 great pizzas for the price of 1 monstrosity here. Awful experience and waste of money.",,-0.8453,0.056,0.799,0.145,Negative,Aug 2021,Couples
Lunch,Aug 2021 • Family,We love Joey’s! Pizza is a hit… along with the service! We ate there two times and are return visitors!,53 contributions,0.7249,0.22,0.78,0.0,Positive,Aug 2021,Family
Visit at Joey’s in Marco Island.,Aug 2021 • Couples,The service was great. The food dishes are-large portions so consider that when you order. Had the Tuna Sandwich. It was good just wished the bread was toasted.,,0.7906,0.212,0.788,0.0,Positive,Aug 2021,Couples
Won’t knock your socks off,Aug 2021 • Family,"Very little sauce and pepperoni, but the crust is very good. It cost us $43 for 2 small pepperoni pizzas, which is highway robbery.",241 contributions,0.6474,0.163,0.837,0.0,Positive,Aug 2021,Family
Dry tasteless pizza didn’t make it for us.,May 2021 • Couples,We ordered two pizzas with intentions on having left overs. One was custom. After we got home we threw the left over s out. The place was packed so I guess everyone else loves it there. We will not go back. Note/ each topping was $2-2.50 each. Our bill was ridiculously high ($35) and not worth it either for two pizzas.,747 contributions,0.1615,0.058,0.878,0.064,Positive,May 2021,Couples
Good....but,May 2021 • Family,I've always loved Joey's. But my family and I will never be back. There is only ONE handicapped parking place outside. Had to pass on coming inside.,5 contributions,0.3506,0.089,0.911,0.0,Positive,May 2021,Family
First day at Marco,May 2021 • Family,"We so enjoyed the bursts salad , the pizzas and especially the cannoli. We might go back just for the cannoli",65 contributions,0.5563,0.159,0.841,0.0,Positive,May 2021,Family
This is the place for pizza and more.,Apr 2021 • None,Nice outside casual atmosphere. Our waiter was excellent. Good table maintenance. Pizza was excellent. The dough knots are delicious.,10 contributions,0.9559,0.589,0.411,0.0,Positive,Apr 2021,None
Best pizza. Hands down,May 2021 • None,"Joey’s makes a mean pie. The crust is hand tossed, giving it that artisan style. The cheese and all the toppings were top quality. Definitely try the garlic knots, they are addicting",,0.8442,0.272,0.728,0.0,Positive,May 2021,None
Nothing like Chicago pizza,May 2021 • Friends,"It was okay. The pizza bottom wasn’t very crisp. Very bland. We had the bread knots and they were really good. We also ordered 2 large salads. They were just okay. Maybe get taste better if we were dining in, maybe?",,0.8357,0.216,0.784,0.0,Positive,May 2021,Friends
Inconsistent Food,May 2021 • Family,Unfortunately the food is very inconsistent. When they are busy the quality and taste of the food drops significantly. The cheese and toppings just fell of the pizza and the crust wasn’t the same. We gave them another try but we will continue to go elsewhere for pizza and Italian food.,10 contributions,-0.1779,0.0,0.967,0.033,Negative,May 2021,Family
Consistently great food and great service,Apr 2021 • Family,"We have been to Joey’s many times over the years. Food is always great. We love the pizza, garlic rolls, salads, cocktails, etc. our dining experience was extra special this year due to our fantastic waiter, Johnny. He went above and beyond for us and all his tables.",,0.9393,0.249,0.751,0.0,Positive,Apr 2021,Family
Great Pizza,Apr 2021 • Family,"Great place for family. Great Pizza and pasta dishes. Can’t go wrong, fast service. Also nice bar area to catch a game and have a few beers.",13 contributions,0.836,0.313,0.598,0.088,Positive,Apr 2021,Family
Amazing Pizza,Apr 2021 • Couples,We wanted to stay in one night and we ordered pizza and pick it up and it was amazing. The dough was perfect and all the toppings were fresh. Even the second day for left overs was just as good. We would definitely recommend and go back.,1200 contributions,0.9509,0.304,0.696,0.0,Positive,Apr 2021,Couples
Amazing!,Apr 2021 • Couples,"We visit Marco Island often and several locals had suggested Joey’s. We were amazed how much we enjoyed the service and food. We had the house lasagna and one of the house pizza specials. We generally go for quality over quantity, however here you get both. The service was perfect as our humble waiter took the time to insure we had everything needed. We have given reviews from around the world and HIGHLY recommend Joey’s",176 contributions,0.929,0.162,0.838,0.0,Positive,Apr 2021,Couples
We Love Joey's!,Mar 2021 • None,This is a must visit for us during our frequent Marco Island getaways. The food and service are consistently outstanding and the atmosphere is top notch. Highly recommended and we will be back during our next visit!,334 contributions,0.8012,0.199,0.801,0.0,Positive,Mar 2021,None
